KOI_name,KS,fake_KSs,p,fake_Ps,num_trials,fakeAvg,fakeMed,fakeStd,fakeMad
K00752.01,0.1283694057195518,0.53827967806841;0.53827967806841;0.4966968477531858;0.50177733065057;0.48113945578231293;0.5309186085781828;0.5098256203890006;0.5389795918367345;0.517223910840932;0.5246200607902736;0.4796183721715636;0.5390174379610996;0.5148893360160963;0.4934650455927051;0.5298547787909491;0.50439302481556;0.5231220657276995;0.5097753185781353;0.5108484238765928;0.5383179170948955;0.48288061703554686,6.620438478092714e-06,0.3832588889471251;0.3832588889471251;0.4401176697450202;0.43822814622866973;0.459771392905612;0.3723430138566584;0.4351306470455007;0.3720605277866839;0.3938385498584513;0.38358864366294176;0.4719830838514336;0.3616747101766978;0.4055733446117168;0.4746521334335147;0.39430180401029774;0.4410423953826442;0.399952308613952;0.4217948209262448;0.41646427814462855;0.3655141425527174;0.45847350372134016,20,0.5144725295437551,0.5148893360160963,0.019516330210870358,0.016600498932607382
K00752.02,0.1807875291021358,0.41048773448773446;0.41048773448773446;0.44857142857142873;0.5013852813852813;0.5019913419913419;0.46619913419913417;0.500900432900433;0.4685194805194805;0.5031861471861471;0.3855411255411256;0.42694372294372296;0.38406926406926395;0.45714285714285713;0.5024935064935065;0.4663896103896104;0.4373333333333332;0.485887445887446;0.4967792207792208;0.4153246753246754;0.4791168831168832;0.4574199134199134,0.002642528366786021,0.4672964444472272;0.4672964444472272;0.42996296228898784;0.31537964221287973;0.31527917840347114;0.37049729386168684;0.3186271404474452;0.36258974874161803;0.32215314775602993;0.5351122264643465;0.44263982083459774;0.519070987416646;0.35919462555997667;0.2892753245588796;0.40976369701917437;0.4362678098925976;0.331993574201483;0.32009389750788936;0.4699429216913506;0.32523428703615764;0.43771049245493315,20,0.4574366797223941,0.4661991341991342,0.03853392082273145,0.032480476943061984
K00753.01,0.4506368028107158,0.6053571428571428;0.6053571428571428;0.644345238095238;0.5993939393939396;0.6083333333333334;0.5770833333333334;0.5565476190476191;0.5842261904761905;0.6470238095238098;0.5883928571428569;0.5918181818181818;0.5776785714285714;0.5592261904761903;0.6038690476190476;0.6032738095238095;0.6109090909090908;0.5895833333333335;0.5812499999999997;0.5375;0.5702380952380952;0.6083333333333335,1.1648757482656655e-13,0.4236988352641128;0.4236988352641128;0.3668153430876481;0.45155000949632307;0.39736037977046756;0.44210613855905745;0.5054531966523693;0.486177167269901;0.35250559268104825;0.4345405983183524;0.4362201386062907;0.47289550004787406;0.49177277986670803;0.41998501385571724;0.41599082823494965;0.42371466405642527;0.4245591413847835;0.46123833825941;0.5309752902644862;0.47711319419424075;0.40596314307801323,20,0.5928447742733456,0.5918181818181818,0.025560898675883573,0.01978553759166008
K00754.01,0.4299407487438048,0.52584541062802;0.52584541062802;0.5251348435814458;0.5212243797195258;0.5280193236714985;0.5104437229437228;0.5236559139784949;0.5202207862143242;0.5396979503775627;0.5235215053763446;0.5170442286947148;0.5233710285406572;0.5182038834951457;0.5113354873451805;0.5228594507269796;0.5113085621970919;0.5247580645161296;0.522087378640777;0.5286559139784953;0.5276612903225818;0.5272580645161293,2.3039946072251236e-170,0.4590832421832215;0.4590832421832215;0.4482611903125564;0.4600105711542332;0.4382619372251195;0.4715819500277905;0.4505066829110996;0.45900101536515153;0.42943489763825393;0.4539859084131834;0.46001366403598504;0.4455398380895871;0.4613959175667456;0.47468572660399094;0.46180193473737924;0.4741893493952656;0.4500808431278149;0.4533780763769353;0.45424334663705035;0.4458049028488119;0.44238983582045793,20,0.5227691714329924,0.5235215053763446,0.0065466798839368115,0.004789042115567368
K00755.01,0.17597767547586896,0.7807240704501028;0.7807240704501028;0.7603313840155996;0.7894736842105309;0.7625000000000048;0.7664717348927924;0.7803536345776078;0.7749023437500051;0.7672851562500048;0.7828460038986401;0.7876953125000049;0.7656614785992263;0.7750976562500049;0.7790448343079972;0.7831712062256859;0.7634241245136233;0.7841796875000049;0.7759842519685093;0.7691406250000048;0.7776803118908429;0.7812377210216155,4.549554052396873e-20,0.42712109074723026;0.42712109074723026;0.4571887829321314;0.4155786087855092;0.4557074439628235;0.4493075740880115;0.4274537060992467;0.4337353626595731;0.448740987387558;0.42594842212213946;0.41667074342890653;0.44945956493765105;0.4384397514114158;0.42972647534824326;0.42256843181386855;0.4558913204723898;0.4208593489176125;0.4320438538076036;0.4439778214936391;0.4320343065792756;0.4252402919496364,20,0.7756156805844243,0.7776803118908429,0.00842935886897559,0.007212059237005044
K00756.01,0.254729950607001,0.4624120908331434;0.4624120908331434;0.4466473243068987;0.4448051948051949;0.45497374965460075;0.4825563909774435;0.4761600972127289;0.44495717048908523;0.45335915546441874;0.457852077001013;0.4324705703653074;0.44548247451473244;0.4661266803372067;0.4612394622920939;0.470622009569378;0.44172248803827757;0.466597586810353;0.4513382674672997;0.43117338801549343;0.4629513176881598;0.45519015035144084,1.986524448256644e-19,0.3547142381951528;0.3547142381951528;0.40523476343510156;0.41734162749012116;0.3860582318433091;0.3634751254395475;0.335037376818937;0.4087916117486886;0.3899464602259378;0.39127065469388755;0.41269424749106093;0.40978579380910374;0.3695948937252877;0.4149421251769789;0.37706586897968875;0.4340777127711351;0.3992789504868216;0.4006539046139433;0.4354121156907281;0.3737440962764154;0.38259469911805505,20,0.4557642731917817,0.4551901503514408,0.013002224211928823,0.010598768727318835
K00756.02,0.18897677101590749,0.5295477186690574;0.5295477186690574;0.5286111111111111;0.5288215286114446;0.5126618848376174;0.5198645148435944;0.5232067510548523;0.5286212392906949;0.5274158198844393;0.5129464285714288;0.5145758303321326;0.49412233512651926;0.5205357142857141;0.5239406779661018;0.5251700680272108;0.542126850740296;0.5275951384737997;0.5012054194062562;0.5038095238095237;0.5044444444444448;0.5213888888888891,8.139992165313219e-18,0.38252691504370834;0.38252691504370834;0.38605098866145615;0.3794767929470248;0.41100257664382395;0.3891027793868042;0.39804125577109006;0.38096787617775313;0.4004891564568112;0.4279789195616175;0.42045716000326827;0.44766598911807226;0.39873154265877714;0.3923984246257111;0.38915332381331624;0.3744687086883875;0.3908480901781057;0.4380759402054539;0.42796556413987297;0.43226689795648393;0.41095931446048173,20,0.5200076003354375,0.5232067510548523,0.011392742594189412,0.009183849648760184
K00756.03,0.11921644797403964,0.514265536723164;0.514265536723164;0.5223163841807912;0.5184507042253527;0.5133802816901408;0.5109375000000006;0.5128787878787882;0.5294871794871796;0.523229461756374;0.5164788732394368;0.5131355932203394;0.5183615819209046;0.5176136363636372;0.5386064030131829;0.5168079096045202;0.49976325757575796;0.5123474178403759;0.5087570621468931;0.5111425873465542;0.513559322033899;0.5250000000000004,3.465195688556853e-08,0.4646960903052921;0.4646960903052921;0.4566456580890265;0.4687239012311369;0.4613689719647542;0.47777919091750737;0.4654332542616078;0.4387213481361232;0.4454494414918407;0.4565869191587205;0.46885101721048583;0.46111273854303264;0.4676032296378173;0.4241408266130657;0.46578460695982044;0.48812219094645787;0.46579619349686896;0.4767870145380638;0.4687540334204681;0.4756294537367674;0.44181163861275424,20,0.5167040484271647,0.514265536723164,0.00782613092394009,0.005670173781662994
K00114.01,0.20227360547962608,0.42533033033033013;0.42533033033033013;0.4337225123909905;0.43781487232574157;0.42360886860886854;0.4229770381409724;0.42044140943597463;0.4323072423072421;0.41164576667294067;0.40790082716312187;0.4245918645918647;0.4429211029211025;0.4366793416793417;0.44915096915096925;0.4017117996737563;0.41962735462735445;0.41432198538176773;0.4227079677079678;0.4387441987441989;0.42398029205094406;0.422978237978238,1.7921205125266649e-31,0.38613632191297326;0.38613632191297326;0.3752639819743387;0.3619318379889636;0.40942391757523017;0.4007086345880013;0.3858191582581928;0.39819610143930734;0.421134813187181;0.4273233922660724;0.3899579730211878;0.3676454852006639;0.38819540450158113;0.3632478599478591;0.43279613739820944;0.40947519863754095;0.41103027891977;0.39453427551163683;0.3760769830803751;0.3852323688410911;0.39504351738428495,20,0.4256425862959056,0.4239802920509441,0.011356327654039478,0.008746870042690211
K00757.01,0.3522756455985161,0.5035024154589373;0.5035024154589373;0.5367954911433171;0.5252487562189052;0.514452495974235;0.5689133986928107;0.5232026143790849;0.5229526109960894;0.5264895330112722;0.5473506069094306;0.5036634460547504;0.5376811594202898;0.5063607085346215;0.5210950080515298;0.5069035947712418;0.4978663446054749;0.5259144237405107;0.5811191626409017;0.5464170692431563;0.569158496732026;0.5499194847020932,8.638838287130538e-21,0.38146677310701;0.38146677310701;0.3689558244904937;0.38065824134244164;0.4047068748147685;0.31426829668212397;0.37490102410922244;0.38700012023063085;0.34568170270438525;0.36145057716481443;0.3832373416714976;0.3512957337787779;0.3915316182928737;0.37897935146943873;0.3984075694273221;0.41084107724654;0.37901212714514937;0.26280094657376607;0.34070497787261583;0.3046728786523282;0.31764525414362227,20,0.5294528207971245,0.5252487562189052,0.02331791021895681,0.01921260029590751
K00001.01,0.528829690416326,0.6018217054263573;0.6018217054263573;0.6272621809744791;0.5918209876543217;0.5973909657320884;0.600115740740742;0.5996906419180212;0.606332556332557;0.5967289719626173;0.6074459876543218;0.6088372093023267;0.6053488372093031;0.6050000000000006;0.6153549382716057;0.613271604938272;0.5910672853828313;0.6172897196261695;0.6111882716049396;0.6110465116279084;0.5997280497280506;0.6094573643410865,1.269738676014914e-127,0.43212520336023896;0.43212520336023896;0.3961577985548188;0.4437870778989603;0.43437929377827295;0.4315573323231241;0.4399389953082234;0.4112433307025294;0.4300052307019417;0.4136943951063494;0.4271455428103942;0.4169840169184434;0.42186881842281343;0.40812914531298133;0.4097683973325213;0.4452079621342342;0.4065206719332914;0.41267255974143413;0.4180760436091396;0.42965059070222705;0.4128541600867005,20,0.6056200588502074,0.6053488372093031,0.00852362475119051,0.006789119635389661
K00002.01,0.5984797900452143,0.49946678616891366;0.49946678616891366;0.5183515482695806;0.5032825917252151;0.5052577725305005;0.5051567656765679;0.5047403310582884;0.504011911277921;0.5030217278168096;0.5053258145363401;0.5144851076070182;0.49025878778354054;0.5060970365157557;0.49905997918293027;0.5006407754358569;0.5070465781941187;0.516783495196324;0.5013344801522138;0.48481603514552485;0.5005275751157128;0.5001944966583124,0.0,0.349529661155396;0.349529661155396;0.3224448948729709;0.33870277810281024;0.34125369383958565;0.3377603234000072;0.34209773326964527;0.3389730660781616;0.3420382159597236;0.3363131930130406;0.3245147109903731;0.36982694156480656;0.3273873771307245;0.35197318360720137;0.3559379735663136;0.3437111009774944;0.32074279861529503;0.3390992905706664;0.37671763280671655;0.3405359465084687;0.34111908806051267,20,0.5033012562960171,0.5032825917252151,0.00742173235765552,0.0051660759906899285
K00010.01,0.5887074829931973,0.44843342036553496;0.44843342036553496;0.4551732734978805;0.4476938419346788;0.45685689419370845;0.45683039620047483;0.4465033657442026;0.444078783345799;0.45259231629988805;0.45749098595051574;0.45129588293650746;0.45479315085614236;0.4625250626566414;0.45335583052118433;0.4443717277486909;0.44210069444444416;0.45609847071987997;0.45873015873015854;0.455580357142857;0.4688357018199951;0.4557379087405192,0.0,0.4756584826947642;0.4756584826947642;0.4637663116342119;0.47508752480509997;0.47025875829891817;0.4526577042077071;0.47825326802285245;0.4859242668949006;0.4622497096435981;0.45877729306410636;0.46644916546817833;0.4587321808284382;0.44470346661369614;0.4729814122199537;0.473505864884698;0.48596399175273847;0.45709595789851243;0.4523481608630795;0.45625359892140377;0.42752968223171117;0.45327792128434063,20,0.4532148402007256,0.4547931508561424,0.006335340789999963,0.0050885817734523785
K00112.02,0.13653987182794436,0.6018746579091411;0.6018746579091411;0.6196258503401365;0.6161036494369827;0.604056437389771;0.591880341880342;0.5987215909090913;0.6199319727891166;0.5957854406130269;0.5944919278252615;0.6146814026470192;0.5949878246753252;0.6018179351512687;0.609836734693877;0.6095509428842764;0.6147755102040816;0.5991045991045997;0.5942640692640696;0.5806953463203459;0.6142176870748304;0.5999727111474963,5.370228307692928e-14,0.39656640486885114;0.39656640486885114;0.35645525542600914;0.36763502764251677;0.3831177745277828;0.3978457126700935;0.39138600443811655;0.3622098806549773;0.3976774640827172;0.3906389081439125;0.37679825489869645;0.39929035507909044;0.3947020433474367;0.3781312235358798;0.36935172759385837;0.36743433899880584;0.3787854687653769;0.4102262187755089;0.4244773704596492;0.37207137300571413;0.39373436146661894,20,0.6037262519128189,0.6018746579091411,0.010113952093141363,0.00849942097568757
K00742.01,0.60917369591674,0.5227637235449735;0.5227637235449735;0.5101273148148147;0.49826388888888906;0.5352099867724868;0.5098538011695907;0.49835069444444446;0.5321469907407407;0.5363993316624895;0.5150584795321639;0.4812210648148146;0.5473976608187135;0.5149415204678364;0.5528067129629629;0.539122807017544;0.5397610780423278;0.5107017543859649;0.5222800925925927;0.5114004629629627;0.5113508597883596;0.5077718676122932,4.231216468257168e-91,0.37056847685547384;0.37056847685547384;0.37705961419460315;0.40506895689348626;0.3551727080649088;0.40893938685461917;0.39434697642757705;0.35938309337542457;0.35960507310095813;0.37038776528304224;0.4401455663135359;0.34312737092498075;0.37193704796459937;0.32780525411421185;0.3633959885491996;0.3609491265657285;0.37832028906641185;0.35478000435113044;0.3865085104816501;0.3802211319688063;0.39673113984415764,20,0.5199854198372351,0.5150584795321639,0.017363781644746886,0.014361705650233612
K00743.01,0.145467361388552,0.3339776271947494;0.3339776271947494;0.30659104826587985;0.3357083078179221;0.30104817309655035;0.29920647313349163;0.31838841440502424;0.29943709304767896;0.31840971841729254;0.2979937888198757;0.3139286492130789;0.3212558416862731;0.2978860371924384;0.3457808610826512;0.31605420666290224;0.3330329329056039;0.3012648624667258;0.31311524972272053;0.31888314213692115;0.3125642285430279;0.3267620479133031,8.540484999908447e-16,0.2763894633595874;0.2763894633595874;0.374751752138406;0.25698672147680574;0.37461843670853745;0.35960603140233055;0.32356075721717775;0.363280249454698;0.3184238250408935;0.3502144799453259;0.37390578959832704;0.31538915792062894;0.3508865587319071;0.2796114577723691;0.34585680796340557;0.3069510760016693;0.3631593313704962;0.3059057448691618;0.40091712044644967;0.3727119336780015;0.3351359701567504,20,0.31644125385327904,0.31605420666290224,0.014029441501540414,0.011596569735399943
K00744.01,0.6077403749244104,0.4410376492194673;0.4410376492194673;0.4000137741046832;0.43945473251028805;0.4201734324375833;0.434435261707989;0.4336119127785793;0.41310179719270623;0.4470523415977961;0.41306937297503343;0.4590128558310377;0.41779155188246075;0.43466023875114773;0.4398943985307621;0.43207070707070694;0.43709169618260535;0.42843893480257117;0.4215656565656566;0.444271417882529;0.42873278236914625;0.4381212922879588,4.0839690277918203e-66,0.3768707515747624;0.3768707515747624;0.43407044784722115;0.39297093808375355;0.3869758767943804;0.3498485378653784;0.3768912607659605;0.42574558136216906;0.35391164703804295;0.37735258210582506;0.3242665825543488;0.4008274283263813;0.3849842485293243;0.3593205858018887;0.37650675427008434;0.3565377506397213;0.3680549563115287;0.4277660791019314;0.3694110501403274;0.36612741388755987;0.3822447226466853,20,0.4316494979000083,0.43443526170798896,0.01323261239194778,0.010505588654307256
K00745.01,0.6577812170045005,0.3472387062698067;0.3472387062698067;0.39087619896443415;0.37155842074396805;0.3824909567556624;0.35874557425309295;0.35171568627450955;0.3466212476893589;0.352313079077785;0.3277677224736047;0.36910506390056;0.3519263383433516;0.3417779352570373;0.38599811136575835;0.35241741832299084;0.4004620787709021;0.35059225976408626;0.32901795486934776;0.34447574484339183;0.33681987946693814;0.357803348612172,7.630403557288384e-190,0.35983852325661286;0.35983852325661286;0.2845110232210344;0.26243507756858603;0.3309650649935072;0.3211355842158616;0.3239319207921614;0.34413858968524524;0.29711712270181123;0.35693520936525525;0.2973115980200075;0.29688432161358375;0.3188737134871613;0.2720349609965105;0.3131061130084397;0.2649574447952721;0.3834531529452069;0.38867268337917077;0.3732630189350099;0.3640014541594057;0.35752814338273975,20,0.3569982110613602,0.3519263383433516,0.0192213968474794,0.015338482369111232
