KOI_name,KS,fake_KSs,p,fake_Ps,num_trials,fakeAvg,fakeMed,fakeStd,fakeMad
K00746.01,0.24815882035720904,0.454861111111111;0.454861111111111;0.4353835978835978;0.4642857142857143;0.4585978835978834;0.47506613756613764;0.4401455026455027;0.4769563769563771;0.47957746478873264;0.46003637566137584;0.47569097569097574;0.44688644688644696;0.4702380952380951;0.46736596736596725;0.46220446220446243;0.47619047619047633;0.48498677248677247;0.437895437895438;0.4741924741924741;0.4489417989417988;0.44303902116402116,1.581108964247348e-23,0.46947840243446975;0.46947840243446975;0.49606947847468075;0.4301342433049839;0.44367808857761515;0.43181626634042825;0.48192607296295303;0.43857868888102786;0.41744407653039883;0.44768367197577674;0.40169303490933783;0.47173024584877155;0.4253944018432316;0.4243507155295484;0.4508886376119991;0.42626291935268457;0.3719168584760416;0.49308203981803655;0.4131337829208995;0.48409919566582815;0.48870339322567496,20,0.4613049144697368,0.4622044622044624,0.014644874653678974,0.012609605504674371
K00747.01,0.328477352669983,0.7847417840375586;0.7847417840375586;0.7748837209302321;0.7607476635514011;0.7953271028037384;0.7619718309859153;0.7724056603773584;0.7716279069767437;0.7783018867924528;0.7413953488372089;0.7757009345794387;0.7697674418604644;0.758878504672897;0.7671361502347412;0.7839534883720928;0.7886792452830186;0.7726635514018688;0.7720930232558136;0.7720930232558135;0.7760563380281686;0.7717289719626164,3.4301688613622976e-27,0.4224142808120937;0.4224142808120937;0.4341391080901798;0.4569206963458176;0.4051242103236952;0.4535485338397554;0.43409421111477864;0.4384154141578143;0.4320669020469121;0.4885880427818315;0.4389332096661713;0.4413319580842089;0.4598392578597053;0.4502558109216022;0.4214157832378621;0.413294505273752;0.43675214280951596;0.4416498575052452;0.43894826421600724;0.43793693379202253;0.44605507294443125,20,0.7730902553446238,0.7724056603773584,0.011357050610735749,0.008054665405966109
K00748.01,0.1425814295282627,0.5182809523809531;0.5182809523809531;0.5304617170849634;0.5073869962146517;0.5392497844208107;0.517626059794735;0.5306373015873014;0.525517702070808;0.5362192639246749;0.5144589760786946;0.5173331093189963;0.5347166443551981;0.5034582775546634;0.523783333333333;0.5242651970607876;0.5281364315933452;0.5389000222667553;0.5390682539682539;0.5102554314979164;0.5150418383315767;0.5115591397849463,4.357832584873094e-30,0.39181940795399167;0.39181940795399167;0.3620812755633013;0.39852572624206667;0.3495775902630006;0.3865699446343057;0.3700270242003188;0.384731858551181;0.35563360829156876;0.38692930405231735;0.3751821407042962;0.344519116520179;0.4123201850255828;0.36244722993245254;0.36791070487084354;0.3649719580986472;0.34086720033491613;0.34941222247490605;0.397770928584031;0.3900282812203989;0.3920469833687258,20,0.5230779707144914,0.5237833333333329,0.010683037158106827,0.009247426076840641
K00749.01,0.18142254861961105,0.5177944862155389;0.5177944862155389;0.5214478503952191;0.5277713514555621;0.5105110336817654;0.5106998264893003;0.5237806053595528;0.5181029496818971;0.4848949296317716;0.5139118457300277;0.5299167634533487;0.5040427599611276;0.5145459803354538;0.5209037900874631;0.5277424330055914;0.5260748023905918;0.5124661246612466;0.5321428571428571;0.5122822299651565;0.5122628726287262;0.5202236360131095,7.981678923105875e-20,0.4102048061067103;0.4102048061067103;0.3971014269525628;0.38938256686357914;0.41007307517992486;0.43010356726460797;0.39661084581365;0.4081090543082322;0.46523453147391197;0.41429137140787076;0.38834797534957666;0.42792501818102063;0.4163597159419635;0.4120983262939468;0.40004113789795315;0.41566094702697726;0.4139425668178156;0.39933458913036324;0.42602954120512726;0.4077419191749734;0.4150008136079168,20,0.5171101721190879,0.5177944862155389,0.010153055774935013,0.007464185332115748
K00749.02,0.11352108663760532,0.6068090787716959;0.6068090787716959;0.6083111505471752;0.6078623349651394;0.5996884735202496;0.610803016858918;0.6194173321502517;0.6054635020152264;0.6169642857142861;0.5864389233954453;0.6173861444889488;0.601190476190476;0.6302036537885596;0.6055555555555556;0.6093463472345462;0.6007038035339921;0.5869713102632363;0.5972407654650645;0.6347172619047622;0.6103963324460228;0.5954613095238093,3.5844337683963477e-09,0.3779892492054328;0.3779892492054328;0.38628504273999753;0.37741922575550063;0.3858141567744646;0.3681485161306791;0.3676588859386343;0.37872701138725623;0.3611522964453796;0.4134509462734827;0.35093314931162034;0.38333299316296865;0.34185919412559607;0.3792568616525601;0.3761985717798553;0.3797343583157024;0.4188108979910128;0.3939179534971199;0.34165234857318355;0.3748859640891323;0.401450296882381,20,0.6075114351002409,0.6068090787716959,0.011711085584014786,0.008599381818685898
K00749.03,0.1729834646730748,0.5153861308116628;0.5153861308116628;0.5325028344671201;0.5350396825396824;0.5110717100078802;0.5502758077226161;0.5077817178881006;0.4948778565799842;0.5169227738376672;0.5174772036474166;0.539342001576044;0.515297619047619;0.5342460317460317;0.521354875283447;0.5353317346123099;0.5441989265730272;0.5337158844353085;0.5013189448441244;0.5241922773837666;0.4931245074862097;0.537491496598639,1.3475067101024637e-12,0.3755644805869087;0.3755644805869087;0.38633865319663024;0.3574078731282897;0.39946264319296565;0.3385934942774404;0.4022647554298962;0.439014317621461;0.39868867050430135;0.38161668617234673;0.33878869497053005;0.3781857770933466;0.34723546740078265;0.37474112025470524;0.3639603541059855;0.3518851221181234;0.3540707274090475;0.4095600741669302;0.37020268431479003;0.414251732698363;0.34694844099996464,20,0.5226826737095389,0.521354875283447,0.015539697125850403,0.0132866610056338
K00113.01,-1.0,,-1.0,,0,-1.0,-1.0,-1.0,-1.0
K00750.01,0.13084292871583025,0.5360215053763441;0.5360215053763441;0.5353825136612022;0.5099910394265231;0.556406810035842;0.4631720430107525;0.575591985428051;0.5521505376344087;0.5053278688524592;0.5155913978494622;0.5916666666666666;0.5186247723132968;0.5441756272401436;0.5413425925925925;0.5050627240143367;0.5521505376344086;0.5179431216931217;0.4879781420765029;0.541263440860215;0.5417690732206861;0.5599271402550091,0.0015715531762631484,0.3394748190916209;0.3394748190916209;0.34810477670454937;0.37501996918006114;0.32191267466447004;0.4694500248998893;0.2750744946675217;0.2978558270160264;0.38068813399716195;0.3755268722353868;0.25778154743637854;0.39488712768486894;0.3384846238040497;0.34537903623798444;0.3947237904201458;0.29511234512077095;0.3673315610543977;0.42926655554760473;0.36685424344311157;0.35267075587096774;0.3305895016271543,20,0.5327410021532557,0.5360215053763441,0.028734805551445988,0.0226892293323419
K00751.01,0.20387863420504115,0.6036858974358971;0.6036858974358971;0.6015372168284784;0.590650406504065;0.5958937198067633;0.5928104575163402;0.6090177133655393;0.6037842190016103;0.6080515297906599;0.6032852564102563;0.6021035598705503;0.6215544871794868;0.5604878048780486;0.6100644122383252;0.6119162640901766;0.5927884615384615;0.5814903846153844;0.6097896440129442;0.5977564102564104;0.6033171521035594;0.585104669887278,1.4423463013670063e-12,0.4309363727912651;0.4309363727912651;0.42867875596174737;0.446612354198633;0.43886995164135856;0.4515041764019407;0.4156773260756424;0.425671252393906;0.41894716886849726;0.43600530280427086;0.4304513730222369;0.3950659039804594;0.4945429951548286;0.41697280580853263;0.4011403087831727;0.44235793541382307;0.459629605824157;0.4064272716560498;0.43774298303430803;0.42520466130412365;0.43975250347440836,20,0.5994655030841015,0.6032852564102563,0.012635253544650494,0.009403972349529615
K00769.01,0.2679617861961383,0.5130990659929565;0.5130990659929565;0.5054892053284338;0.5316997996609645;0.5194186765615332;0.5032154340836011;0.5324529168580617;0.4995483080692083;0.5160771704180064;0.5081687337314341;0.5302721088435374;0.5252105343745211;0.5226113671274961;0.5162120511635075;0.5191863153028199;0.5268223146863922;0.525463175623947;0.5062980030721966;0.5145306997397028;0.5084519981626089;0.4901843317972351,7.700760410442026e-51,0.41650347207727645;0.41650347207727645;0.4257666888402133;0.3854202435832894;0.4094914325315638;0.426942443091865;0.39274004538222673;0.4530944075767227;0.4146340694109095;0.4281227885371477;0.39441472527919547;0.4024695739064477;0.4030054640398305;0.4177812004168867;0.4142628169001961;0.4012909325901996;0.3931159236907224;0.43660148701173745;0.42300222833244816;0.42163764425263656;0.45581356169195364,20,0.5155957750757677,0.5160771704180064,0.010947931771719115,0.008940276646413595
K00770.01,0.3641884826582813,0.7710616438356178;0.7710616438356178;0.7746013667425983;0.778923253150059;0.7707762557077646;0.7646522234891696;0.7680875576036887;0.7708904109589056;0.7754295532646063;0.7772311212814648;0.7758581235697956;0.7768835616438367;0.7779109589041111;0.7699658703071691;0.7745714285714304;0.7820980615735473;0.7764000000000012;0.7658105022831078;0.7762041284403689;0.7712814645308943;0.7720638540478925,6.957128373986722e-127,0.4420472402986132;0.4420472402986132;0.43911789626484066;0.4310946129814396;0.4423667014122858;0.450150615139914;0.4459398995456717;0.43938383363542793;0.43434470301952344;0.4338488464421947;0.4367603535469884;0.4329724102113849;0.4317682649828206;0.4451586657848368;0.4369916140336588;0.42508198818840726;0.43300107973073654;0.44987591988193404;0.43439913255020157;0.4412536468817605;0.4405630348588688,20,0.7734172849400784,0.7745714285714304,0.0042966688044805655,0.0036687069334244283
K00771.01,0.3667416767641798,0.3250011939637923;0.3250011939637923;0.29616794908029304;0.37881980500749973;0.42936245571359466;0.14783042846768332;0.3433908434714403;0.33207080073966005;0.22310060034911808;0.2007618719818565;0.27338316910182353;0.36713115241315747;0.3635003443129836;0.2581824036887561;0.515154223429093;0.2605080644392999;0.13926555506051919;0.2643485209843596;0.12931479749020058;0.36669425160549723;0.0859293873312565,1.2107913851431723e-19,0.0659808809886381;0.0659808809886381;0.0474601206199405;0.02791375903739925;0.000573332098318096;0.3931243296894751;0.2979850957756855;0.11154078629182762;0.32329341402288386;0.26555457054291903;0.26898380845513953;0.06973502817690128;0.11683872143662934;0.10560177205883403;0.0008994057768758201;0.004127811737799784;0.2614845337482291;0.03392575669737738;0.5382515814953189;0.22390966056603367;0.7430744316529062,20,0.2869009053616989,0.29616794908029304,0.104151603388052,0.08441754806877293
K00772.01,0.2139255702280912,0.32552790346908;0.32552790346908;0.3556534152122387;0.37078934137757674;0.3773954552235095;0.30178571428571427;0.3477402499461323;0.268312324929972;0.31889678948502476;0.30199041154923506;0.33873895712131;0.29577677224736043;0.33839689722042665;0.4354449472096532;0.3798453996983409;0.4024429002370178;0.30161603102779566;0.421179951270449;0.3354449472096531;0.3386096746390864;0.34121417797888387,0.026168858654864062,0.48202867441313624;0.48202867441313624;0.3809093443457663;0.39820318054927345;0.3871403130017423;0.5013049050634942;0.346381321790366;0.557977615208822;0.5016921824891896;0.4520150163526871;0.40867195774613274;0.49971409693633456;0.36070653814935116;0.21579208969004915;0.32452567382704994;0.2742786834646342;0.48618609497408005;0.2399726693032455;0.4577804071865229;0.43200379150688595;0.4092811587360924,20,0.3439204840384543,0.3386096746390864,0.041335454172299536,0.03229788455878892
K00773.01,0.12612368024132725,0.41627554127554145;0.41627554127554145;0.45455070455070445;0.43843843843843844;0.5222915222915223;0.3963386463386464;0.4245731745731747;0.4537422037422038;0.51515939015939;0.4254158004158004;0.41141141141141147;0.38348925848925847;0.49112299112299107;0.43500231000231004;0.44658119658119655;0.38698313698313697;0.41487416904083585;0.4492035742035741;0.4250981750981752;0.41031576448243134;0.42290367290367303,0.002801754575302994,0.41528346887700096;0.41528346887700096;0.3073029586416922;0.33698432440870424;0.25612322452722674;0.41607670902897587;0.39617937369481454;0.30465967341118744;0.2681666163708811;0.3627075307419698;0.40744335814178906;0.4500135068371074;0.25326922261769;0.3218767156223321;0.30164227452173104;0.4509416676617452;0.3686481711423741;0.32063366394873266;0.34032736104770284;0.392112724999667;0.36279307232513386,20,0.4352403153990457,0.4250981750981752,0.03615160886714694,0.027539761704538684
K00757.02,0.2898159094747509,0.4977189477189477;0.4977189477189477;0.5296536796536796;0.4836663336663337;0.4631202131202133;0.43344155844155857;0.454995004995005;0.5165834165834166;0.5176490176490176;0.508991008991009;0.48624708624708624;0.5115717615717615;0.4305627705627706;0.44007659007659006;0.4538461538461539;0.506959706959707;0.4742257742257742;0.545954045954046;0.48140193140193144;0.4716949716949716;0.4374458874458875,7.575370278748642e-07,0.32164627262495393;0.32164627262495393;0.23238107017370785;0.35296752295267275;0.39008575298428505;0.4415736920241487;0.3828965927211047;0.24700147156416816;0.278128089472792;0.31811297920615017;0.3349306578010581;0.29939741848212903;0.4222431064624675;0.432302184172327;0.38777153421229205;0.3192178529356523;0.3443720273941382;0.27120275216576895;0.3444820147214379;0.36409550983907796;0.4398513681750641,20,0.4830249908821338,0.4836663336663337,0.032614974926232526,0.027565624096236318
K00757.03,0.21549885378251765,0.5866837753065296;0.5866837753065296;0.6190476190476186;0.5998003992015964;0.5827596098680435;0.605134825014343;0.5992784992784987;0.5897877223178427;0.6385799828913596;0.6108225108225104;0.5803393213572849;0.6317080125463354;0.5969489592244076;0.6248135398737802;0.6279942279942274;0.5896442914515201;0.6010835471913313;0.6120195065978195;0.6300917957544458;0.6302352266207681;0.6356855995410214,4.464164774314677e-13,0.4084481622737203;0.4084481622737203;0.36181875795553636;0.3912637501812989;0.424015369558419;0.38774817761964375;0.3964231214653344;0.40623954988467376;0.3317063908145489;0.37452787269431964;0.42962560721103915;0.3564655610636279;0.39608799154679136;0.35723899905991524;0.3436736194117651;0.3987377651601829;0.38369042304096385;0.38570166991188887;0.3557166613139314;0.34453016323862484;0.34342846491509443,20,0.6085306070098959,0.605134825014343,0.018733618367813558,0.016732566818183563
K00758.01,0.12065727699530515,0.4842490842490842;0.4842490842490842;0.44395604395604393;0.4608791208791208;0.49765567765567753;0.484249084249084;0.4534798534798534;0.43633699633699613;0.45461309523809523;0.4765624999999999;0.48717948717948717;0.453125;0.4706959706959707;0.479120879120879;0.45113553113553106;0.43846153846153824;0.46227106227106196;0.4538461538461538;0.446227106227106;0.4687499999999998;0.45641025641025623,0.023529146679404103,0.3843172880191645;0.3843172880191645;0.48793772941913555;0.4468172899782068;0.3708858143777862;0.3746597477197765;0.47874646297287293;0.5030691902768721;0.44697990235710405;0.4247668652251682;0.39926500140236304;0.47914434621841406;0.4190052531953629;0.42921907704800977;0.4714912309859727;0.48638298676236863;0.42756209387285826;0.4602658641071641;0.4895941925428217;0.4213359373903948;0.4652996228654946,20,0.4639739774114773,0.4608791208791208,0.017106088408802414,0.014947235304378166
K00759.01,0.44197031039136303,0.42109328579916805;0.42109328579916805;0.4365702479338842;0.41909536541889486;0.433511586452763;0.4143196672608438;0.4281194295900179;0.3950757575757576;0.43244525082760377;0.4394459298871064;0.42086304218657156;0.4051247771836007;0.4012626262626262;0.39152554961378483;0.42684419957147224;0.41047979797979806;0.4781639928698751;0.45080213903743305;0.43851010101010096;0.4573306595365419;0.45252525252525255,5.339032873094773e-22,0.38486632693690837;0.38486632693690837;0.3499675628947135;0.44940980548303167;0.3583546807769661;0.4475452913121877;0.3923677346841869;0.4775180547106346;0.3789473586191843;0.3935345230906766;0.3968607415153363;0.4153954506503217;0.4346550891220613;0.4540900135171968;0.39650386608587257;0.449496207303531;0.27156061810649823;0.3500102564874099;0.32686866252025126;0.3484377700408718;0.34065543185132374,20,0.4273429497296316,0.4268441995714721,0.020962300950093524,0.016570961178501167
K00759.02,0.1643620943952802,0.41873278236914596;0.41873278236914596;0.43305785123966944;0.43808918354372894;0.5256985438803621;0.3810704447068083;0.4126721763085399;0.35745769382133025;0.39807162534435253;0.3867375049193231;0.35580480125934666;0.41290830381739474;0.3668240850059032;0.4071231798504526;0.3724124360487997;0.38705234159779606;0.34764790764790765;0.3834710743801653;0.3977174340810705;0.42121212121212115;0.41908697363242814,0.10886030814709116,0.30079985938334;0.30079985938334;0.2551922385675898;0.27937612653988003;0.15790757281041062;0.4062185820746196;0.2965177727048788;0.41075691555048;0.3289809744225256;0.3548151764938208;0.5272536056020392;0.30059249917503333;0.444610496530497;0.263950880309936;0.3613448233166501;0.3259819098370967;0.4310914413940384;0.4174231279011297;0.3675276633868471;0.38522274851612526;0.3582152654370003,20,0.4019800593826568,0.3980716253443525,0.03748330727753305,0.027382219466325824
